index,id_tableau,titre_tableau,source,categorie,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,19.01,Quelques indicateurs de performance de la justice,Ministère de la Justice,Dossiers répressifs clôturés par rapport aux dossiers ouverts,70,90,98,93,107,120,130,137,120,,
2,19.01,Quelques indicateurs de performance de la justice,Ministère de la Justice,Arriéré Judiciaire à la Cour Suprême,3 515,4 080,4 646,6 835,7 756,10 053,4 336,3 899,2 335,,
3,19.01,Quelques indicateurs de performance de la justice,Ministère de la Justice,Arriérés judiciaires (nombre),34 980,45 511,51 310,58 787,63 214,67 223,66 692,60 619,59 984,,
4,19.01,Quelques indicateurs de performance de la justice,Ministère de la Justice,Population Carcérale,9 917,10 816,9 895,10 432,6 369,7 854,7 566,7 593,8 482,,
5,19.01,Quelques indicateurs de performance de la justice,Ministère de la Justice,Capacité officielle des prisons,4 050,4 050,4 050,4 050,4 050,4 050,4 050,4 050,4 050,,
6,19.01,Quelques indicateurs de performance de la justice,Ministère de la Justice,Nombre de personnes en détention préventive en % par rapport à la population carcérale,65,63,59,51,60,51,53,61,40,,
7,19.01,Quelques indicateurs de performance de la justice,Ministère de la Justice,Nombre de mineurs dans les prisons,484,451,372,392,148,219,158,20,1,,
8,19.01,Quelques indicateurs de performance de la justice,Ministère de la Justice,Rendement des magistrats (TGI),"2,6","2,3","3,1","3,1","4,4","4,9","8,2","7,2","6,5",,
9,19.02,Evolution de la population pénitentiaire,Ministère de la Justice,Population pénitentiaire,,,,,6369,6369,7526,7593,5856,,
10,19.02,Evolution de la population pénitentiaire,Ministère de la Justice,Détenus preventifs,,,,,3976,3976,3920,4648,2324,,
11,19.02,Evolution de la population pénitentiaire,Ministère de la Justice,Femmes détenues,,,,,146,146,341,359,181,,
12,19.02,Evolution de la population pénitentiaire,Ministère de la Justice,Mineurs détenus,,,,,-,4596,4382,2098,872,,
13,19.02,Evolution de la population pénitentiaire,Ministère de la Justice,Militaires détenus,,,,,-,-,-,179,195,,
14,19.02,Evolution de la population pénitentiaire,Ministère de la Justice,Policiers détenus,,,,,-,-,-,167,180,,
15,19.02,Evolution de la population pénitentiaire,Ministère de la Justice,Démobilisés détenus,,,,,-,-,-,76,64,,
16,19.03,Evolution du nombre de Magistrats ayant exercé dans les jurdictions,Ministère de la Justice,Cour Suprême,,,,,,21,18,26,25,,
